Geneid	featureCounts on dataset 196: Counts	featureCounts on dataset 190: Counts	featureCounts on dataset 184: Counts	featureCounts on dataset 178: Counts	featureCounts on dataset 172: Counts	featureCounts on dataset 166: Counts	featureCounts on dataset 160: Counts	featureCounts on dataset 154: Counts	featureCounts on dataset 148: Counts
100008567	0	0	0	0	3	0	4	1	1
100009600	8	27	1	4	0	1	1	3	4
100009609	0	0	0	0	0	0	0	0	0
100009614	0	0	0	0	0	0	0	0	0
100009664	0	0	0	0	0	0	0	0	3
100012	0	0	0	0	0	0	0	0	0
100017	42	88	46	49	57	87	68	82	96
100019	81	105	26	41	33	27	64	52	54
100033459	9	18	3	5	0	11	0	5	3
100034251	48	110	36	35	31	10	12	54	43
100034361	0	0	0	0	2	1	1	0	0
100034363	0	0	0	0	0	0	0	0	0
100034684	0	0	1	0	0	0	0	0	0
100034726	149	160	104	142	120	74	97	126	114
100034729	0	0	0	0	0	0	0	0	0
100034739	6	3	1	3	7	0	2	0	1
100034748	0	0	0	0	0	2	0	0	0
100036518	0	0	0	0	0	0	0	0	0
100036520	0	0	0	0	0	0	0	0	0
100036521	11	28	16	12	16	21	19	20	37
100036523	0	0	0	0	0	0	0	0	0
100036537	0	0	0	0	0	0	0	0	0
100036568	0	0	0	0	0	0	1	0	0
100036571	0	0	0	0	0	0	0	0	0
100036572	0	0	0	0	0	0	0	0	0
100036768	33	92	38	49	51	65	46	38	34
100037258	323	517	294	353	503	446	727	454	421
100037260	16	24	15	6	18	14	15	5	32
100037262	1	0	0	0	1	0	0	0	0
100037278	2	8	8	8	21	20	14	6	13
100037282	1	3	2	2	1	0	1	6	2
100037283	264	251	320	443	1073	968	712	463	959
100037396	0	0	0	0	0	0	0	0	0
100038347	0	0	1	0	0	0	1	0	0
100038349	0	0	0	0	0	0	0	0	0
100038353	0	0	0	5	1	1	2	1	7
100038356	1	2	0	0	0	3	0	1	0
100038357	0	0	0	0	0	0	0	0	1
100038358	0	0	0	0	0	0	0	0	0
100038359	2	0	0	0	3	7	2	5	0
100038361	0	0	0	0	0	0	0	0	0
100038363	34	27	13	3	3	1	9	7	2
100038371	1	6	0	0	0	0	0	0	0
100038374	0	0	0	0	0	0	0	0	0
100038376	0	0	0	0	0	0	0	0	0
100038378	0	0	2	0	0	0	0	0	0
100038380	0	2	0	0	1	0	0	3	0
100038381	0	0	0	0	0	0	1	0	0
100038382	0	0	0	1	1	0	0	0	0
100038383	0	0	0	0	0	0	0	0	0
100038384	0	0	0	0	0	0	0	0	0
100038388	0	0	0	0	1	0	0	6	5
100038391	0	0	0	0	0	0	0	0	0
100038392	1	5	0	1	7	0	2	5	2
100038394	0	0	0	0	0	0	0	0	0
100038395	0	0	0	0	0	0	0	0	0
100038398	0	0	0	0	0	0	0	1	0
100038399	0	0	0	0	0	0	0	0	0
100038410	0	0	0	0	0	0	0	0	1
100038411	1	2	0	0	0	1	0	0	0
100038412	0	0	0	0	0	0	0	0	0
100038413	0	0	0	0	0	0	0	0	0
100038414	0	0	0	0	0	0	0	0	0
100038416	5	7	0	0	2	0	0	2	1
100038417	0	0	0	0	0	0	0	0	0
100038419	0	0	0	0	0	0	0	0	0
100038420	0	0	0	0	0	0	0	0	0
100038421	0	0	0	0	0	0	0	0	0
100038424	0	0	0	0	0	0	0	0	0
100038425	9	35	21	9	10	17	5	25	17
100038429	0	3	1	0	4	0	1	1	2
100038431	0	0	0	0	0	0	0	0	0
100038433	0	0	0	0	0	0	6	1	0
100038436	0	0	0	0	0	0	0	0	0
100038439	0	0	0	0	0	0	0	0	0
100038440	0	0	0	0	0	0	0	0	0
100038452	0	0	0	0	0	0	0	0	0
100038453	0	2	0	1	2	8	4	7	7
100038454	0	0	0	0	0	0	0	0	0
100038460	0	0	0	0	0	0	0	0	0
100038464	5	0	0	1	0	0	0	1	0
100038467	0	0	0	0	0	0	0	0	0
100038468	0	0	0	0	0	0	0	0	0
100038470	0	0	0	0	1	2	0	0	2
100038478	3	6	3	0	2	0	0	0	1
100038479	0	0	0	0	0	0	0	0	0
100038481	0	0	0	0	0	0	0	0	0
100038486	0	0	0	0	0	0	0	0	0
100038487	2	1	0	0	0	0	0	0	0
100038489	0	0	0	0	0	0	0	0	0
100038493	0	0	0	0	0	0	0	0	0
100038494	0	0	0	0	0	0	0	0	0
100038496	2	4	2	1	9	2	2	7	8
100038498	0	0	0	0	0	0	0	0	0
100038504	4	6	3	0	1	1	1	0	0
100038506	0	0	0	0	0	0	0	0	0
100038508	0	0	0	0	0	0	0	0	0
100038509	0	0	0	0	0	0	0	0	0
100038513	0	0	0	0	0	0	0	0	0
100038514	1	0	0	0	6	0	0	0	0
100038516	2	2	0	0	4	0	0	0	0
100038522	0	0	0	0	0	0	0	0	0
100038525	0	0	0	0	0	0	0	0	0
100038526	0	0	0	0	0	0	0	0	0
100038528	0	1	0	0	0	0	0	2	0
100038529	0	0	0	0	0	0	0	0	0
100038532	0	0	0	0	0	0	0	0	0
100038537	0	0	0	0	0	0	0	0	0
100038538	1	0	0	0	2	2	2	3	0
100038541	0	0	0	0	0	0	0	0	0
100038545	0	0	0	0	0	0	0	0	0
100038546	0	0	0	0	0	0	0	0	0
100038547	0	0	0	0	0	0	0	0	0
100038548	0	2	0	5	2	6	5	3	3
100038551	0	0	0	0	0	0	0	0	0
100038554	0	0	0	0	0	0	0	0	0
100038555	0	0	0	0	0	0	0	0	0
100038556	0	0	0	0	0	0	0	0	0
100038558	5	2	1	0	0	0	0	0	0
100038560	0	5	0	0	0	0	0	0	0
100038561	0	0	0	0	0	0	0	0	0
100038563	0	0	0	0	0	0	0	0	0
100038566	2	17	1	2	0	0	0	0	0
100038569	0	0	0	0	0	0	0	0	0
100038570	0	0	0	0	0	0	0	0	0
100038571	0	0	0	0	0	0	0	0	0
100038573	0	0	0	0	0	0	0	0	0
100038574	0	0	0	0	0	0	0	0	0
100038575	0	0	0	0	0	0	0	0	0
100038577	21	27	31	44	93	50	47	56	94
100038582	0	0	0	0	0	0	0	0	0
100038584	0	0	0	0	0	0	0	0	0
100038587	0	0	0	0	0	0	0	0	0
100038589	1	0	0	0	0	0	0	0	0
100038590	0	0	0	0	0	0	0	0	0
100038591	0	0	1	0	0	0	0	0	1
100038595	0	3	1	0	1	5	2	0	1
