"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"0610009B22Rik",40,21,34,28,33,30,25,28
"0610009E02Rik",3,2,1,0,2,1,1,0
"0610009L18Rik",5,9,5,11,11,15,11,4
"0610009O20Rik",25,28,27,34,28,35,30,21
"0610010F05Rik",18,9,7,11,17,37,53,26
"0610012G03Rik",117,151,132,164,110,140,126,107
"0610030E20Rik",64,58,48,60,80,48,51,51
"0610037L13Rik",61,71,66,80,83,60,43,59
"0610040B10Rik",3,3,5,5,4,4,5,2
"0610040J01Rik",122,125,142,151,116,89,51,51
"1110002L01Rik",3,8,2,6,10,3,6,2
"1110003F10Rik",11,6,8,8,14,6,15,12
"1110004E09Rik",18,12,11,9,9,13,12,14
"1110004F10Rik",40,60,61,52,39,53,61,71
"1110006O24Rik",6,9,8,7,6,5,4,3
"1110008F13Rik",207,266,283,241,235,251,269,257
"1110008L16Rik",14,14,12,12,12,16,17,16
"1110008P14Rik",31,65,23,47,19,68,166,138
"1110012L19Rik",11,9,8,5,10,24,21,14
"1110019D14Rik",1,3,2,3,4,0,1,0
"1110020A21Rik",2,0,1,5,3,0,1,2
"1110025M09Rik",8,8,11,18,6,12,7,9
"1110032A03Rik",11,24,21,24,24,20,24,21
"1110034G24Rik",14,10,15,15,17,5,9,6
"1110035H17Rik",2,6,5,7,3,4,6,8
"1110038B12Rik",78,101,81,83,64,143,122,267
"1110038F14Rik",40,41,47,51,40,38,56,51
"1110051M20Rik",14,11,16,15,6,13,5,13
"1110059E24Rik",24,15,23,17,19,22,29,31
"1110059G10Rik",34,24,44,27,33,36,27,27
"1110065P20Rik",28,38,26,24,31,46,49,45
"1190002N15Rik",18,14,11,12,28,17,13,14
"1190007I07Rik",15,24,9,23,14,8,14,14
"1300002E11Rik",7,11,7,6,8,20,7,13
"1500011B03Rik",18,22,18,23,10,19,12,12
"1500011K16Rik",81,82,71,77,104,71,36,83
"1500015A07Rik",7,3,5,4,1,6,2,6
"1500015O10Rik",1,0,0,1,0,0,1,0
"1600002H07Rik",24,13,14,12,22,20,26,18
"1600002K03Rik",26,21,23,25,33,18,18,20
"1600010M07Rik",14,11,7,16,14,6,4,6
"1600012H06Rik",68,72,52,52,39,60,74,56
"1600014C10Rik",153,113,183,169,148,102,59,116
"1600020E01Rik",50,64,57,71,42,86,155,76
"1700001C19Rik",1,2,2,1,0,0,2,0
"1700001J03Rik",1,1,0,1,0,4,15,3
"1700003F12Rik",33,19,16,29,34,107,97,74
"1700007K09Rik",0,0,0,0,0,0,3,2
"1700007L15Rik",3,5,3,5,0,0,10,2
"1700008J07Rik",3,3,3,5,4,1,3,1
"1700009J07Rik",2,2,2,0,1,2,1,0
"1700010I14Rik",4,9,2,4,5,3,2,2
"1700011I03Rik",2,3,1,0,2,1,2,2
"1700012D14Rik",5,10,5,6,12,5,9,10
"1700014D04Rik",0,0,1,0,0,1,2,0
"1700016F12Rik",1,0,0,0,0,0,2,1
"1700016G22Rik",0,0,0,0,0,0,1,0
"1700017B05Rik",194,286,287,291,260,237,268,227
"1700019D03Rik",1,0,1,1,0,0,0,0
"1700020I14Rik",46,32,26,36,31,26,35,22
"1700020L24Rik",0,0,1,1,1,1,3,1
"1700020N01Rik",0,1,1,2,1,1,3,2
"1700021F05Rik",36,22,34,27,31,37,37,30
"1700023H06Rik",11,5,3,3,4,4,2,4
"1700025G04Rik",6,5,6,2,8,1,0,2
"1700025N23Rik",0,1,1,0,0,3,1,1
"1700028E10Rik",12,10,15,19,9,7,12,10
"1700028J19Rik",1,0,1,2,0,1,6,5
"1700029I15Rik",5,3,5,10,10,0,4,5
"1700029J07Rik",6,2,6,7,4,2,2,2
"1700030C10Rik",8,6,3,5,5,6,12,8
"1700030K09Rik",14,18,23,20,27,8,10,8
"1700037C18Rik",9,13,10,14,18,2,10,18
"1700037H04Rik",21,21,35,24,27,39,31,48
"1700041G16Rik",1,1,2,2,1,0,0,0
"1700042O10Rik",0,1,1,0,1,11,12,9
"1700056N10Rik",3,2,2,1,4,4,4,2
"1700058P15Rik",2,1,0,0,4,0,4,2
"1700066B19Rik",2,6,5,2,3,2,2,2
"1700066M21Rik",8,5,3,4,10,3,9,7
"1700067K01Rik",0,2,5,2,4,1,1,2
"1700084E18Rik",1,2,2,2,4,2,3,2
"1700086O06Rik",3,4,2,8,2,9,6,10
"1700086P04Rik",0,1,1,3,4,0,1,0
"1700093K21Rik",0,1,0,0,0,4,7,4
"1700096K18Rik",8,7,11,9,6,10,7,5
"1700109H08Rik",5,2,2,2,3,8,20,11
"1700113A16Rik",1,1,0,1,0,0,0,0
"1700120C14Rik",2,3,2,3,3,1,3,3
"1700123O20Rik",28,37,49,42,35,37,37,37
"1700124L16Rik",1,3,2,1,0,1,6,2
"1810010D01Rik",2,0,2,2,1,0,2,2
"1810010H24Rik",1,2,1,3,1,7,6,2
"1810011H11Rik",63,92,123,107,83,42,13,26
"1810011O10Rik",9,17,23,17,12,12,2,11
"1810013L24Rik",21,15,14,24,14,20,21,16
"1810014B01Rik",6,10,9,6,8,1,2,5
"1810021B22Rik",8,11,12,13,7,8,4,7
"1810022K09Rik",31,23,12,23,22,28,27,39
"1810026B05Rik",186,177,142,174,177,177,151,187
"1810030O07Rik",33,31,43,30,29,32,46,44
"1810032O08Rik",44,42,38,39,32,101,128,101
"1810034E14Rik",1,2,2,1,1,2,5,0
"1810037I17Rik",72,89,107,100,76,66,48,67
"1810041L15Rik",1,0,0,0,0,1,0,1
"1810043G02Rik",37,44,44,42,63,36,30,34
"1810044D09Rik",2,7,6,5,4,3,4,3
"1810055G02Rik",8,13,15,10,5,16,19,38
"1810058I24Rik",67,65,49,62,63,97,86,74
"1810062O18Rik",2,2,3,4,0,0,1,2
"2010007H06Rik",0,0,0,0,0,0,3,0
"2010008C14Rik",9,17,16,19,16,7,5,9
"2010013B24Rik",5,3,5,1,1,4,1,2
"2010015M23Rik",8,6,9,1,5,7,10,4
"2010016I18Rik",0,0,0,0,0,0,3,0
"2010107E04Rik",149,128,62,117,118,115,107,151
"2010109A12Rik",1,2,2,2,2,1,2,1
"2010109I03Rik",4,3,8,12,8,6,1,2
"2010111I01Rik",65,58,68,70,47,83,98,75
"2010204K13Rik",7,9,2,3,5,7,11,11
