"","Mutant_1","Mutant_2","Mutant_3","Control_1","Control_2","Control_3","Control_4","Control_5","Control_6"
"Gm14964",0,0,0,0,3,0,4,1,1
"Zglp1",8,27,1,4,0,1,1,3,4
"Vmn2r65",0,0,0,0,0,0,0,0,0
"Krtap12-22",0,0,0,0,0,0,0,0,0
"F630206G17Rik",0,0,0,0,0,0,0,0,3
"Oog3",0,0,0,0,0,0,0,0,0
"Ldlrap1",42,88,46,49,57,87,68,82,96
"Mdn1",81,105,26,41,33,27,64,52,54
"Ifi208",9,18,3,5,0,11,0,5,3
"Wfdc17",48,110,36,35,31,10,12,54,43
"Mfap1b",0,0,0,0,2,1,1,0,0
"Tmsb15b2",0,0,0,0,0,0,0,0,0
"Cstdc5",0,0,1,0,0,0,0,0,0
"Gm15772",149,160,104,142,120,74,97,126,114
"Gm15114",0,0,0,0,0,0,0,0,0
"Gm17762",6,3,1,3,7,0,2,0,1
"Prr35",0,0,0,0,0,2,0,0,0
"Vmn1r223",0,0,0,0,0,0,0,0,0
"Gata5os",0,0,0,0,0,0,0,0,0
"Umad1",11,28,16,12,16,21,19,20,37
"Gm16982",0,0,0,0,0,0,0,0,0
"Gm11149",0,0,0,0,0,0,0,0,0
"Gm3373",0,0,0,0,0,0,1,0,0
"100036571",0,0,0,0,0,0,0,0,0
"LOC100036572",0,0,0,0,0,0,0,0,0
"Gm11696",33,92,38,49,51,65,46,38,34
"Dnajc3",323,517,294,353,503,446,727,454,421
"9430060I03Rik",16,24,15,6,18,14,15,5,32
"Gm12359",1,0,0,0,1,0,0,0,0
"Niban3",2,8,8,8,21,20,14,6,13
"Rsph3b",1,3,2,2,1,0,1,6,2
"Rnaset2a",264,251,320,443,1073,968,712,463,959
"D030047H15Rik",0,0,0,0,0,0,0,0,0
"Fam174b",0,0,1,0,0,0,1,0,0
"Gm10862",0,0,0,0,0,0,0,0,0
"Gm10532",0,0,0,5,1,1,2,1,7
"Gm15612",1,2,0,0,0,3,0,1,0
"Gm10856",0,0,0,0,0,0,0,0,1
"Gm10857",0,0,0,0,0,0,0,0,0
"100038359",2,0,0,0,3,7,2,5,0
"Gm10723",0,0,0,0,0,0,0,0,0
"Mir223hg",34,27,13,3,3,1,9,7,2
"Zfp389",1,6,0,0,0,0,0,0,0
"Gm10714",0,0,0,0,0,0,0,0,0
"Gm10876",0,0,0,0,0,0,0,0,0
"Gm10433",0,0,2,0,0,0,0,0,0
"Gm10837",0,2,0,0,1,0,0,3,0
"Gm10647",0,0,0,0,0,0,1,0,0
"Gm10648",0,0,0,1,1,0,0,0,0
"Gm10650",0,0,0,0,0,0,0,0,0
"Gm10610",0,0,0,0,0,0,0,0,0
"Gm10614",0,0,0,0,1,0,0,6,5
"Gm10287",0,0,0,0,0,0,0,0,0
"Gm10785",1,5,0,1,7,0,2,5,2
"Gm10512",0,0,0,0,0,0,0,0,0
"1700061E17Rik",0,0,0,0,0,0,0,0,0
"100038398",0,0,0,0,0,0,0,1,0
"Gm10579",0,0,0,0,0,0,0,0,0
"Gm10536",0,0,0,0,0,0,0,0,1
"Gm15998",1,2,0,0,0,1,0,0,0
"Faddos",0,0,0,0,0,0,0,0,0
"D130050E23Rik",0,0,0,0,0,0,0,0,0
"Gm10735",0,0,0,0,0,0,0,0,0
"Gm10643",5,7,0,0,2,0,0,2,1
"Spink13",0,0,0,0,0,0,0,0,0
"E330027M22Rik",0,0,0,0,0,0,0,0,0
"Gm10624",0,0,0,0,0,0,0,0,0
"Gm10733",0,0,0,0,0,0,0,0,0
"Gm10604",0,0,0,0,0,0,0,0,0
"100038425",9,35,21,9,10,17,5,25,17
"Gm10505",0,3,1,0,4,0,1,1,2
"Gm10568",0,0,0,0,0,0,0,0,0
"9130213A22Rik",0,0,0,0,0,0,6,1,0
"Gm10503",0,0,0,0,0,0,0,0,0
"Gm10556",0,0,0,0,0,0,0,0,0
