"","sample_id","condition"
"AS_2nd_exp_7B4_IL10R_LPS_606_cont_nt_1.normalized","AS_2nd_exp_7B4_IL10R_LPS_606_cont_nt_1.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_607_cont_nt_2.normalized","AS_2nd_exp_7B4_IL10R_LPS_607_cont_nt_2.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_609_cont_nt_3.normalized","AS_2nd_exp_7B4_IL10R_LPS_609_cont_nt_3.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_18_cont2_nt_2.normalized","AS_3rd_LPS_7B4_IL10R_18_cont2_nt_2.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_22_cont3_nt_3.normalized","AS_3rd_LPS_7B4_IL10R_22_cont3_nt_3.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_2_cont1_nt_1.normalized","AS_3rd_LPS_7B4_IL10R_2_cont1_nt_1.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_601_cont_6h_1.normalized","AS_2nd_exp_7B4_IL10R_LPS_601_cont_6h_1.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_603_cont_6h_2.normalized","AS_2nd_exp_7B4_IL10R_LPS_603_cont_6h_2.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_604_cont_6h_3.normalized","AS_2nd_exp_7B4_IL10R_LPS_604_cont_6h_3.normalized","Control"
"Anat_LPSchallenged_7B4_IL10R_M_6h_111.normalized","Anat_LPSchallenged_7B4_IL10R_M_6h_111.normalized","Control"
"Anat_LPSchallenged_7B4_IL10R_M_6h_112.normalized","Anat_LPSchallenged_7B4_IL10R_M_6h_112.normalized","Control"
"Anat_LPSchallenged_7B4_IL10R_M_6h_113.normalized","Anat_LPSchallenged_7B4_IL10R_M_6h_113.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_502_cont_24h_1.normalized","AS_2nd_exp_7B4_IL10R_LPS_502_cont_24h_1.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_509_cont_24h_2.normalized","AS_2nd_exp_7B4_IL10R_LPS_509_cont_24h_2.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_511_cont_24h_3.normalized","AS_2nd_exp_7B4_IL10R_LPS_511_cont_24h_3.normalized","Control"
"Anat_LPSchallenged_7B4_IL10R_M_24h_109.normalized","Anat_LPSchallenged_7B4_IL10R_M_24h_109.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_30_cont1_48h.normalized","AS_3rd_LPS_7B4_IL10R_30_cont1_48h.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","Control"
"AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_510_mut_nt_1.normalized","AS_2nd_exp_7B4_IL10R_LPS_510_mut_nt_1.normalized","Mutant"
"AS_2nd_exp_7B4_IL10R_LPS_512_mut_nt_2.normalized","AS_2nd_exp_7B4_IL10R_LPS_512_mut_nt_2.normalized","Mutant"
"AS_2nd_exp_7B4_IL10R_LPS_513_mut_nt_3.normalized","AS_2nd_exp_7B4_IL10R_LPS_513_mut_nt_3.normalized","Mutant"
"AS_3rd_LPS_7B4_IL10R_20_mut2_nt_2.normalized","AS_3rd_LPS_7B4_IL10R_20_mut2_nt_2.normalized","Mutant"
"AS_3rd_LPS_7B4_IL10R_24_mut3_nt_3.normalized","AS_3rd_LPS_7B4_IL10R_24_mut3_nt_3.normalized","Mutant"
"AS_3rd_LPS_7B4_IL10R_4_mut1_nt_1.normalized","AS_3rd_LPS_7B4_IL10R_4_mut1_nt_1.normalized","Mutant"
"Anat_LPSchallenged_7B4_IL10R_IL10R_P_nt_20.normalized","Anat_LPSchallenged_7B4_IL10R_IL10R_P_nt_20.normalized","Control"
"Anat_LPSchallenged_7B4_IL10R_P_nt_17.normalized","Anat_LPSchallenged_7B4_IL10R_P_nt_17.normalized","Control"
"Anat_LPSchallenged_7B4_IL10R_P_nt_18.normalized","Anat_LPSchallenged_7B4_IL10R_P_nt_18.normalized","Control"
"AS_2nd_exp_7B4_IL10R_LPS_602_mut_6h_1.normalized","AS_2nd_exp_7B4_IL10R_LPS_602_mut_6h_1.normalized","Mutant"
"AS_2nd_exp_7B4_IL10R_LPS_605_mut_6h_2.normalized","AS_2nd_exp_7B4_IL10R_LPS_605_mut_6h_2.normalized","Mutant"
