# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_noLPS2_S14
#
# total peaks = 1270
# peak size = 136
# peaks found using tags on both strands
# minimum distance between peaks = 272
# fragment length = 300
# genome size = 2000000000
# Total tags = 7236010.0
# Total tags in peaks = 19517.5
# Approximate IP efficiency = 0.27%
# tags per bp = 0.003508
# expected tags per peak = 0.477
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.358203e-07
# FDR tag threshold = 7.0
# number of putative peaks = 31263
#
# input tag directory = Anat_WT_noLPS2_S14
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 29892
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 99
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 2
#
# cmd = findPeaks Anat_WT_noLPS2_S14 -o Anat_WT_noLPS2_S14.peaks.txt -style factor -fragLength 300 -i Anat_WT_noLPS2_S14
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010972	9011108	+	369.0	0.903	129.000000	267.0	1.5	178.00	0.00e+00	97.07	0.00e+00	0.91
chrX-1	chrX	139917537	139917673	+	272.9	0.980	105.000000	197.5	0.5	395.00	0.00e+00	66.16	1.88e-276	0.99
chr16-5	chr16	55934796	55934932	+	165.8	0.632	103.500000	120.0	26.0	4.62	6.09e-41	56.52	3.17e-161	0.77
chr7-16	chr7	13563335	13563471	+	140.3	0.582	84.500000	101.5	21.5	4.72	2.33e-35	25.39	1.25e-101	0.85
chr9-13	chr9	3006780	3006916	+	136.1	0.846	90.000000	98.5	20.5	4.80	5.96e-35	7.33	6.38e-50	0.80
chr9-18	chr9	3029626	3029762	+	116.1	0.795	81.500000	84.0	13.0	6.46	3.00e-39	5.06	6.75e-32	0.88
chr17-23	chr17	13744941	13745077	+	115.4	0.627	80.000000	83.5	8.0	10.44	8.50e-54	13.01	4.63e-61	0.78
chr9-38	chr9	3012525	3012661	+	107.8	0.915	66.000000	78.0	4.0	19.50	1.56e-70	9.67	1.61e-48	0.93
chr9-27	chr9	3024279	3024415	+	106.4	0.574	71.000000	77.0	12.5	6.16	8.85e-35	4.25	9.47e-25	0.86
chr5-36	chr5	23900195	23900331	+	105.0	0.659	65.500000	76.0	12.0	6.33	4.02e-35	43.57	2.17e-94	0.89
chr6-29	chr6	124779222	124779358	+	103.0	0.540	71.000000	74.5	16.5	4.52	3.28e-25	13.93	1.22e-56	0.84
chr9-59	chr9	24346464	24346600	+	100.2	0.970	60.000000	72.5	2.0	36.25	1.07e-83	50.08	1.45e-93	0.93
chr11-26	chr11	45768742	45768878	+	89.1	0.673	60.500000	64.5	16.0	4.03	1.36e-19	57.05	6.67e-87	0.85
chr13-174	chr13	97960484	97960620	+	89.1	0.859	36.500000	64.5	2.0	32.25	2.03e-71	14.07	1.82e-49	1.42
chr18-45	chr18	60685892	60686028	+	89.1	0.587	59.500000	64.5	13.5	4.78	2.99e-23	32.04	3.03e-71	0.88
chr18-87	chr18	13107734	13107870	+	88.4	0.926	43.500000	64.0	7.0	9.14	9.82e-39	62.73	1.04e-89	1.28
chr13-65	chr13	67209509	67209645	+	82.9	0.660	54.000000	60.0	14.5	4.14	3.82e-19	29.21	9.18e-65	0.94
chr2-104	chr2	109730919	109731055	+	79.5	0.767	51.000000	57.5	14.0	4.11	5.76e-18	33.23	1.69e-64	0.92
chr1-119	chr1	6204689	6204825	+	78.8	0.669	50.500000	57.0	14.0	4.07	5.76e-18	27.75	2.18e-60	0.96
chr7-106	chr7	28459638	28459774	+	78.1	0.698	53.000000	56.5	14.0	4.04	2.36e-17	48.50	2.32e-72	0.89
chr9-266	chr9	110183754	110183890	+	76.7	0.975	32.500000	55.5	0.5	111.00	1.33e-90	82.15	1.72e-83	1.40
chr10-101	chr10	40603067	40603203	+	73.2	0.654	49.000000	53.0	10.5	5.05	1.06e-20	32.17	1.45e-59	0.94
chr4-90	chr4	44769265	44769401	+	72.6	0.520	50.500000	52.5	10.0	5.25	6.93e-21	19.68	1.31e-47	0.89
chr4-103	chr4	115747791	115747927	+	71.2	0.560	48.500000	51.5	10.5	4.90	2.68e-19	26.40	6.04e-53	0.92
chr9-109	chr9	100935078	100935214	+	71.2	0.650	49.000000	51.5	12.5	4.12	2.76e-16	31.13	1.81e-56	0.87
chr1-132	chr1	34496392	34496528	+	70.5	0.556	49.000000	51.0	12.0	4.25	5.61e-17	22.02	2.68e-49	0.89
chr4-105	chr4	107040479	107040615	+	70.5	0.654	48.000000	51.0	11.0	4.64	1.76e-18	53.61	1.96e-68	0.91
chr4-115	chr4	6284477	6284613	+	69.8	0.561	46.500000	50.5	9.5	5.32	2.32e-20	30.65	4.55e-55	0.91
chr15-66	chr15	98364665	98364801	+	69.8	0.673	48.000000	50.5	9.5	5.32	2.32e-20	32.85	1.59e-56	0.87
chr15-76	chr15	82176475	82176611	+	67.7	0.602	46.000000	49.0	11.5	4.26	2.03e-16	32.46	2.19e-55	0.90
chr8-146	chr8	40705242	40705378	+	67.0	0.776	46.000000	48.5	10.5	4.62	2.93e-17	29.94	1.88e-52	0.93
chr8-166	chr8	73891293	73891429	+	64.3	0.696	43.500000	46.5	11.5	4.04	1.51e-14	12.97	1.75e-34	0.90
chr8-150	chr8	86239084	86239220	+	64.3	0.626	46.000000	46.5	10.0	4.65	1.05e-16	29.85	2.85e-50	0.87
chr6-134	chr6	136467317	136467453	+	62.2	0.600	44.000000	45.0	10.0	4.50	4.84e-16	26.97	1.64e-47	0.90
chr2-184	chr2	101721991	101722127	+	61.5	0.684	40.500000	44.5	11.0	4.05	5.50e-14	17.17	4.74e-38	0.94
chr9-185	chr9	3258806	3258942	+	60.1	0.889	38.500000	43.5	4.5	9.67	2.51e-27	33.21	5.05e-49	0.97
chr1-174	chr1	53908117	53908253	+	58.7	0.545	43.000000	42.5	6.0	7.08	9.86e-22	23.26	1.17e-41	0.88
chr2-167	chr2	69551535	69551671	+	58.7	0.769	42.500000	42.5	9.5	4.47	7.92e-15	41.10	1.06e-51	0.92
chr7-228	chr7	109213837	109213973	+	58.7	0.673	41.500000	42.5	10.5	4.05	2.01e-13	58.16	6.50e-58	0.88
chr7-223	chr7	148358638	148358774	+	58.7	0.683	42.000000	42.5	10.5	4.05	2.01e-13	26.57	5.49e-44	0.90
chr2-187	chr2	37214366	37214502	+	58.0	0.647	40.000000	42.0	9.5	4.42	7.92e-15	20.38	1.49e-39	0.94
chr3-179	chr3	88214011	88214147	+	57.4	0.648	40.000000	41.5	7.5	5.53	1.52e-17	39.60	7.31e-50	0.89
