# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_12h_LPS2
#
# total peaks = 1185
# peak size = 141
# peaks found using tags on both strands
# minimum distance between peaks = 282
# fragment length = 300
# genome size = 2000000000
# Total tags = 6208254.0
# Total tags in peaks = 19980.0
# Approximate IP efficiency = 0.32%
# tags per bp = 0.002989
# expected tags per peak = 0.421
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.243591e-07
# FDR tag threshold = 7.0
# number of putative peaks = 36177
#
# input tag directory = Anat_WT_12h_LPS2
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 34874
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 112
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 6
#
# cmd = findPeaks Anat_WT_12h_LPS2 -o Anat_WT_12h_LPS2.peaks.txt -style factor -fragLength 300 -i Anat_WT_12h_LPS2
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010970	9011110	+	334.2	0.907	115.500000	207.5	2.0	103.75	0.00e+00	87.40	4.34e-315	0.96
chrX-1	chrX	139917545	139917685	+	277.1	0.984	95.500000	172.0	3.0	57.33	2.76e-231	66.63	2.49e-242	1.04
chr9-6	chr9	3006778	3006918	+	203.0	0.829	118.000000	129.5	27.5	4.71	1.37e-44	6.60	2.65e-58	0.76
chr13-7	chr13	8884882	8885022	+	196.5	0.618	103.000000	122.5	26.5	4.62	1.73e-41	54.16	1.15e-161	0.80
chr8-11	chr8	4677694	4677834	+	195.7	0.591	97.000000	123.0	28.0	4.39	7.36e-40	17.25	4.38e-102	0.86
chr9-14	chr9	3024388	3024528	+	184.4	0.820	98.000000	114.5	23.0	4.98	8.70e-42	4.83	1.47e-40	0.80
chr16-10	chr16	55934803	55934943	+	182.8	0.628	95.500000	114.0	21.5	5.30	1.76e-44	54.68	2.43e-150	0.83
chr9-31	chr9	3012504	3012644	+	174.0	0.875	81.000000	109.0	6.5	16.77	4.48e-91	9.08	7.77e-64	0.97
chr7-19	chr7	144602590	144602730	+	167.5	0.577	90.000000	104.0	25.0	4.16	4.30e-32	25.95	9.09e-105	0.83
chr10-22	chr10	12912778	12912918	+	150.6	0.613	80.000000	94.0	21.0	4.48	1.74e-31	35.73	2.86e-107	0.86
chr7-50	chr7	13420099	13420239	+	142.6	0.639	75.000000	88.5	17.5	5.06	4.11e-33	53.97	5.17e-117	0.89
chr7-62	chr7	147222370	147222510	+	126.4	0.632	69.000000	78.5	18.0	4.36	1.42e-25	46.32	1.23e-98	0.89
chr17-55	chr17	57136702	57136842	+	114.4	0.676	64.500000	71.5	17.5	4.09	7.02e-22	40.04	9.47e-86	0.87
