# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_2w_LPS_noRC_3_S7
#
# total peaks = 33114
# peak size = 78
# peaks found using tags on both strands
# minimum distance between peaks = 156
# fragment length = 300
# genome size = 2000000000
# Total tags = 13686356.5
# Total tags in peaks = 810729.5
# Approximate IP efficiency = 5.92%
# tags per bp = 0.005535
# expected tags per peak = 0.432
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.804927e-07
# FDR tag threshold = 7.0
# number of putative peaks = 128921
#
# input tag directory = Anat_WT_2w_LPS_noRC_3_S7
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 90847
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 4948
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 12
#
# cmd = findPeaks Anat_WT_2w_LPS_noRC_3_S7 -o Anat_WT_2w_LPS_noRC_3_S7.peaks.txt -style factor -fragLength 300 -i Anat_WT_2w_LPS_noRC_3_S7
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-2	chr13	9011002	9011080	+	276.9	0.893	98.000000	379.0	0.5	758.00	0.00e+00	104.47	0.00e+00	0.83
chr8-1	chr8	20020313	20020391	+	271.4	0.735	120.500000	371.5	80.0	4.64	4.07e-123	40.55	0.00e+00	0.66
chr19-29	chr19	61275640	61275718	+	187.8	0.799	71.000000	257.0	8.0	32.12	1.95e-281	44.18	4.73e-316	1.06
chr2-465	chr2	5300340	5300418	+	167.3	0.978	51.500000	229.0	37.5	6.11	5.20e-99	119.39	0.00e+00	1.52
chr7-18	chr7	13563330	13563408	+	161.8	0.564	84.000000	221.5	49.5	4.47	2.61e-71	24.78	4.58e-218	0.89
chr16-16	chr16	52031469	52031547	+	154.9	0.585	83.000000	212.0	51.5	4.12	9.59e-63	29.15	7.06e-224	0.88
chr9-16	chr9	121766896	121766974	+	154.5	0.579	83.500000	211.5	47.0	4.50	1.45e-68	30.66	4.41e-227	0.89
chr16-5	chr16	55934837	55934915	+	153.8	0.625	91.500000	210.5	51.5	4.09	1.62e-61	40.85	1.92e-251	0.80
chr8-14	chr8	119517356	119517434	+	152.3	0.648	87.000000	208.5	48.5	4.30	2.01e-64	34.72	9.30e-235	0.84
chr5-24	chr5	4104595	4104673	+	150.1	0.601	79.000000	205.5	49.5	4.15	3.81e-61	47.36	2.31e-258	0.92
chr5-7	chr5	114580899	114580977	+	145.8	0.630	89.500000	199.5	14.5	13.76	1.79e-148	36.73	2.07e-229	0.81
chr9-38	chr9	21760293	21760371	+	141.0	0.555	75.500000	193.0	38.5	5.01	3.42e-70	25.34	1.16e-192	0.97
chr16-14	chr16	57121614	57121692	+	139.6	0.602	84.500000	191.0	42.0	4.55	4.37e-63	37.96	3.80e-223	0.85
