# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_noLPS4
#
# total peaks = 119
# peak size = 165
# peaks found using tags on both strands
# minimum distance between peaks = 330
# fragment length = 300
# genome size = 2000000000
# Total tags = 4952677.5
# Total tags in peaks = 2281.0
# Approximate IP efficiency = 0.05%
# tags per bp = 0.002435
# expected tags per peak = 0.402
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.362640e-07
# FDR tag threshold = 7.0
# number of putative peaks = 16140
#
# input tag directory = Anat_WT_noLPS4
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 16004
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 14
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 3
#
# cmd = findPeaks Anat_WT_noLPS4 -o Anat_WT_noLPS4.peaks.txt -style factor -fragLength 300 -i Anat_WT_noLPS4
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chrX-1	chrX	139917533	139917697	+	363.4	0.987	102.500000	180.0	12.0	15.00	5.86e-141	56.77	3.46e-241	1.07
chr17-9	chr17	13744931	13745095	+	279.6	0.632	124.500000	138.5	22.5	6.16	1.16e-60	11.80	4.92e-95	0.76
chr9-5	chr9	3025622	3025786	+	228.2	0.711	92.500000	113.0	27.5	4.11	2.97e-34	6.51	1.83e-52	0.90
chr9-13	chr9	3012464	3012628	+	177.7	0.917	73.000000	89.0	8.0	11.12	5.29e-60	10.46	3.30e-57	0.98
chr9-11	chr9	3024266	3024430	+	169.6	0.610	75.500000	84.0	10.5	8.00	5.71e-46	4.97	2.42e-31	0.87
chr13-12	chr13	9010959	9011123	+	167.6	0.882	65.500000	83.0	7.0	11.86	3.51e-58	68.71	4.96e-119	1.03
chr9-27	chr9	24346454	24346618	+	135.3	0.952	57.000000	67.0	7.5	8.93	7.25e-40	51.20	5.06e-88	0.97
chr13-15	chr13	74667198	74667362	+	119.1	0.569	61.500000	59.0	13.0	4.54	1.10e-20	7.91	2.56e-31	0.86
chr5-142	chr5	137458581	137458745	+	90.9	0.971	26.500000	45.0	0.5	90.00	1.44e-70	95.80	8.96e-72	1.49
chr16-32	chr16	55934796	55934960	+	87.8	0.580	44.000000	43.5	8.5	5.12	3.85e-17	33.46	3.71e-49	0.89
chr8-111	chr8	73956940	73957104	+	79.8	0.976	32.500000	39.5	0.5	79.00	5.41e-59	51.18	9.26e-52	1.07
chr15-62	chr15	10400135	10400299	+	68.6	0.467	32.000000	34.0	6.0	5.67	2.90e-15	18.18	9.74e-31	0.96
chr18-67	chr18	60685887	60686051	+	65.6	0.548	33.000000	33.0	7.5	4.40	6.14e-12	23.92	1.86e-32	0.90
chr8-373	chr8	26337729	26337893	+	63.6	0.935	15.000000	31.5	0.5	63.00	3.43e-44	79.90	2.41e-47	1.89
chr14-66	chr14	79987327	79987491	+	62.6	0.622	30.500000	31.0	7.0	4.43	2.23e-11	29.80	1.51e-34	0.96
chr17-97	chr17	17511160	17511324	+	55.5	0.655	26.500000	27.5	5.5	5.00	4.55e-11	29.53	5.27e-30	0.96
chr8-157	chr8	40705260	40705424	+	51.5	0.804	27.000000	25.5	5.5	4.64	1.08e-09	20.00	5.12e-24	0.95
chrX-35	chrX	166438656	166438820	+	51.5	0.680	28.000000	26.0	1.0	26.00	9.47e-28	9.56	2.24e-16	0.91
chr5-152	chr5	34000980	34001144	+	49.5	0.661	25.500000	25.0	6.0	4.17	5.89e-09	19.73	8.81e-23	0.91
chr6-162	chr6	83275909	83276073	+	49.5	0.766	24.000000	24.5	4.5	5.44	1.04e-10	30.76	1.91e-27	0.97
chr7-275	chr7	121706224	121706388	+	42.4	0.525	21.500000	21.0	4.5	4.67	1.42e-08	20.73	7.63e-20	0.94
chr15-150	chr15	80541295	80541459	+	41.4	0.526	20.000000	20.5	2.0	10.25	6.44e-14	21.63	5.46e-20	0.94
chr2-294	chr2	25430343	25430507	+	38.4	0.658	19.500000	19.0	4.5	4.22	3.02e-07	44.11	1.66e-23	0.92
chr13-214	chr13	74754744	74754908	+	38.4	0.650	19.500000	19.5	4.5	4.33	3.02e-07	18.72	4.16e-18	1.00
chr2-312	chr2	176991120	176991284	+	37.4	0.821	19.500000	18.5	4.5	4.11	1.30e-06	31.06	7.65e-21	0.95
chr4-284	chr4	149655463	149655627	+	37.4	0.610	18.500000	18.5	1.5	12.33	5.59e-14	36.15	5.42e-22	0.92
chr9-239	chr9	75407379	75407543	+	37.4	0.803	19.500000	18.5	4.5	4.11	1.30e-06	29.41	1.99e-20	0.92
